"","번호","계정이름","작성일","내용"
"63",63,"patience141","5/17/2012","국회의원은 국가기밀 열람권과 불체포특권과 면책특권을 갖고 의정 활동을 내세워 반국가적 행위를 해도 제재할 방법이 없다. 통진당은 국회 상임위원장 한 자리까지 요구하는데 국민은 간첩 복역자와 주사파의 국회 입성을 구경만 해야 하는지 답답하다."
"64",64,"dahada7","5/18/2012","국민들은 이번참에 진보를 가장한 종북세력의 실체와 그들 조직이 얼마나 치밀하고 일사분란하게 움직이는지 분명히 보고 깨달았을 것이다 그동안 진보의 그늘에 숨어 자신들의 본모습을 숨겨왔다면 이제는 커밍아웃하여 국민들로부터 심판과 평가를 제대로 받아야 한다"
"65",65,"subakjoo9","5/18/2012","한국경제 WOW-TV NEWS에서 기사를 보니, 우리 수출기업들이 상당수가 한EU·한미 FTA를 통해 수출에 도움을 받고 있는 것으로 나타났다. FTA 체결하면 식민지 경제라고 외치던 정치인들의 말은 거짓부렁이었다."
"66",66,"subakjoo9","5/18/2012","종북세력은 정치,경제,사회,문화,깊숙이 뿌리를 내리고 있다. 저변도 육군 정훈장교, 병무청 직원, 민항기 조종사, 사이버언론 종사자에 걸쳐 다양해지고 있다. 큰일이다. 경각심을 가져야한다!"
"67",67,"subakjoo9","5/18/2012","최근 통합진보당의 사태를 보면서 그들이 말했었던‘민주적 가치’‘국민을 생각하는정치’ 와 같은 말들은 그냥 권력을 잡기위한‘립서비스’에 불과 했었다는 생각이 든다."
"68",68,"odettejoo","5/19/2012","안 원장은 종북세력이 똬리를 튼 통합진보당과 연대해 공동정권을 세우자는 민주통합당과 손을 잡을 것인지 분명히 밝혀야 하는거 아닌가?"
"69",69,"danongsa","5/20/2012","대남 공작 기구인 225국이 왕재산 총책에게 ""민노당이 중심이 되어 여러 갈래 진보 세력을 결집해야 한다""는 지령을 내렸다고 하는데.. 결국 진보세력의 결집은 북한이 원하는 것인건가요? 진보와 종북의 경계는 뭐죠?"
"70",70,"dinghoa","5/20/2012","이정희 의원, 정말 잔머리의 대가네요. 지금 이상황에서 침묵의 형벌을 받겠다며 입을 다물어버렸으니... 종북스러움이 줄줄 넘친다. 니들 정말 이번기회에 확실히 홀딱벗고 다 보여주는구나. 그동안 잘도 숨겨왔다. 이젠 다까발려졌으니 가라, 북한에..."
"71",71,"icecold67","5/20/2012","남파 간첩 김동식이 말한 종북세력 구별법에 따르면 '지도자·세습·북한체제·주체사상·인권탄압' 북한이 비판치 말라고 지시한 5가지라죠. 통진당 당권파들이 '김동식 공식'을 철저히 준수하고 있음을 쉽게 확인할 수 있네요."
"72",72,"subakjoo9","5/20/2012","통합진보당은 지난 4·11 총선에서 10.3%의 득표율을 기록한 제 3당이다. 또 민노당 때인 2002년 이후 300억원에 달하는 국고보조금을 받았다. 시대착오적인 편협성 때문에 국민으로부터 스스로를 고립시켜서는 안 될 것이다!"
"73",73,"odettejoo","5/21/2012","★종북진보퇴출★ 김재연 시아버지가 누구냐 대체... 아직도 신원확인 못했냐..

 

양파까듯 하나씩 밝혀보면 

경기동부 실체가 세상을 놀라게 하겠지. ㅋㅋ"
"74",74,"odettejoo","5/21/2012","내 살다 살다 처음으로 검찰 응원한다.

 

게다가 이석기의 이해할수 없는 발언들.종북보다 종미가 문제라니.자기는 당원이 우선이라니.

국회에 가면 국민이 먼저냐?당원이 먼저냐?하니까 당원도 국민이라는 이해못할 소리를 하질 않나."
"75",75,"odettejoo","5/21/2012","진보당의 모태인 민주노총까지 “이석기가 사퇴하지 않으면 진보당을 지지하지 않겠다”는 공식 입장을 내놓을 정도다. 보수든 진보든 모든 언론이 그의 사퇴를 촉구하고 있다.

그럼에도 불구하고 당권파는 거듭 배수진을 치고 있다니!! 말이 되는가?"
"76",76,"odettejoo","5/21/2012","진보정치 전체가 나락으로 굴러떨어지고 있는 형국이다.

이 당선인은 이번 사태를 일으킨 당권파 경기동부연합의 실세이자 지하당(민혁당) 활동으로

유죄 선고를 받았던 주사파 거물이다."
"77",77,"odettejoo","5/21/2012","이석기는 최근 인터뷰에서 “부정이 70%, 50%는 돼야 총체적 부정, 부실로 표현할 수 있다”고 말했다.

진보당의 선거부정이 당내 경쟁세력인 비당권파와 언론에 의해 “과장됐다”는 주장이다.

민주주의에 대한 상식조차 의심되는 발언이다."
"78",78,"odettejoo","5/21/2012","통진당...자기네들 끼리도 지들은 부정 없다고.선거때 부정 없는데가 어딨냐고.전혀 부끄러워 않는 넘들이

검찰이 압수수색하는데 그렇게 난리치는걸 어떻게 생각해야 하는걸까?스스로 찔리는게 있어서 그러나 보지?"
"79",79,"yesstory365","5/21/2012","통진당이 국가체제유지의 상징인 검찰권의 행사를 거부한다면 1) 국가의 실체를 거부하느냐. 2) 그러면서 왜 국회의원은 하려하느냐. 3) 국비로 지원받는 당 운영비도 거부할거냐. 4. 국가의 구성요체인 영토,주권에 대한 너희의 개념은 어떤 것이냐"
"80",80,"hong_jihee77","5/22/2012","뭉친 좌파'가 세상을 흔들다http://t.co/vHDFFhlF"
"81",81,"odettejoo","5/22/2012","이정희 일당과 통진당 당권파 역사의 죄인으로 남을듯?소시민으로서 사회의 보편적 정의와  정의가 무너지는모습을 보면서 참으로 안타깝다"
"82",82,"snailcharm","5/22/2012","통합진보당 구당권파들의 궤변과 거짓말을 참다 못한 현장 노동자들이 비례대표 경선의 부정 사례들을 직접 증언·고발하고 나섰군. 정의는 살아있다...이런 말도 떠오르네."
"83",83,"vvip31","5/22/2012","북한을 4번의 탈북해 대한민국에 온 탈북녀 연세대학교 4년생..'종북주의자들 인간이라면 주민들이 굶어 죽는 나라를 이상적인 나라로 생각할 수는 없을 것""이라며.http://t.co/rLYYoAESㅋㅋ종북세력들 북한이 그렇게 좋으면 가서 살아라!!"
"84",84,"mr_neighbor1","5/23/2012","주사파 당선자들이 숨어지네다 밝은 햇볕으로 나오니 스스로 종북임을 인증하네요. 백분토론을 보니 요즘 세상에 빨갱이가 어디에 있냐 더니 아니더군요! 저 주사파들이 다음주면 국회의원를 장악하고 북한에 고급정보 상납하려 혈안일게 뻔합니다. 막아야 합니다."
"85",85,"odettejoo","5/23/2012","불황기 한미FTA가 우리 경제의 지지대 역할을 톡톡히 하고 있다. 유럽 재정위기와 중국 경기둔화로 전체 수출이 감소하고 있지만 대미 수출이 한미 자유무역협정(FTA) 효과로 

크게 증가 하고 있다고 하네요!"
"86",86,"odettejoo","5/23/2012","글로벌 경제 환경이 악화하는 상황에서 한미 FTA가 없었다면 전체 수출과 무역수지가 큰 타격을 

입었을 것이다 정말 경제 영토가 넓어지면서 그효과 톡톡히 보구 있네요!!"
"87",87,"odettejoo","5/23/2012","20일 관세청에 따르면 한미 FTA가 발효된 3월 15일부터 이달 14일까지 두 달간 대미 수출은 111억8000만 달러로 지난해 같은 기간보다 11.3%(11억4000만 달러) 증가했다고 하니!! 정말 한미FTA 효과 톡톡히 보구 있네요~"
"88",88,"odettejoo","5/23/2012","우리가 어렵게 쌓아 온 자유 민주주의를 지키기 위해서는

종북 세력의 진지 구축을 어떻게든 막아야 한다..."
"89",89,"odettejoo","5/23/2012","종북이냐? 아니냐? 왜 답을 못해?이름하여 돌직구녀... 아주 볼을 제대로 던졌죠.
그녀의 질문을 간추려 얘기하면 종북이냐 아니냐를 밝혀달라는거였습니다."
"90",90,"odettejoo","5/23/2012","왜 종북, 민주당은 이 참혹한 지옥 보고도 말 한마디 못하나?"
"91",91,"patience141","5/23/2012","북한의 3대세습, 북핵,북한인권에 대해 비난 못하는 주사파들이네요. 백분토론에 나온 통진당 당선자를 통해 전국민이 그 사실을 확인했다 지금껏 고개를 갸우뚱하던 2030세대도 종북 주사파의 실체를 똑똑히 목격했다"
"92",92,"seomin8","5/23/2012","통진당 이상규 당선자 입장에서 보면 억울한 측면도 있을 듯하다. 이정희, 김선동, 이석기 모두가 북한에 대한 입장표명을 거부했는데 왜 자신만 이토록 많은 비난을 받아야하는지 이해하기가 어려울 것이다."
"93",93,"dinghoa","5/24/2012","박지원은 최근 북한인권법을 반대하면서, 자신이 스스로 ‘종북주의자며 빨.갱.이’라는 발언을 했다. 그 후 우리는 이 발언에서 박지원의 정체성에 확신을 갖게 되었다. (프런티어타임즈)"
"94",94,"odettejoo","5/24/2012","수, 진보등 사상의 자유가 보장되긴 하지만 대한민국 체제를 부정하는 분들, 이분들이 북핵이나 인권, 3대세습 등에 대해 물으면 엉뚱한 답만 하는데 왜 국회에 진출하려고 하는 것인지 뭔가 의도가 있는 게 아닌지 우려할 수밖에 없지 않은가?"
"95",95,"odettejoo","5/24/2012","종북이 진보로 포장하면서 국민들을 호도하여왔다는 것을 이제는 사람들이 알 수 있게되었다는 점을 생각하니 한편으론 마음이 놓입니다..."
"96",96,"odettejoo","5/24/2012","나꼼수....한때 그들은 여의도에서 수만명을 모아놓고 기세를 과시하기도 하였지요
번개라면서 서울광장 앞에서 삼두노출 퍼포먼스도 하였고...그러나 이젠 몰락하네요!
우리국민들이 합리적-이성적-과학적-논리적 판단을 하게되는 것이 참 다행입니다!"
"97",97,"odettejoo","5/24/2012","돌고래 쇼 입장권 사지 말라고하는 공지영과 좌파 떨거지들~~여수 엑스포에서는 돌고래쇼를 하지않는다고 하는데 정확히 알지도 못하고...
아니 돌고래쇼를 하면 또 어떻습니까? 뭔가요~"
"98",98,"odettejoo","5/24/2012","박원순 공지영 동물보호단체 시민환경단체 좌파 떨거지들은 대체적으로 이런생각을 갖지요.
평양에서 아리랑공연 하는건 조선민주주의 인민공화국 인민들의 자랑스럽고
뛰어난 위대한 민족이기 때문이라고....
한심한 것들...."
"99",99,"odettejoo","5/24/2012","진보당은 비례대표 선출 과정에서 유령 투표, 대리 투표, 뭉텅이 투표 등 부정을 저질러  국회에 진출한 소속 국회의원 13명은 국회 발언과 관련한 면책특권, 국회 회기 중 불체포 특권을 누리면서 국방·외교의 국가 기밀을 열람할 수 있다 허거걱!!안되!"
"100",100,"odettejoo","5/24/2012","통진당의 종북성향이 이번에 제대로 까발려진 것은 우리나라 국운에도 큰 영향을 주지 않을까 생각됩니다! 설마 이시대에 북한을 추종하는 세력이 있을까... 했던 국민들에게 현실을 바로 보여주는 계기가 되겠죠..."
"101",101,"odettejoo","5/24/2012","통진당 사태와 오버랩되는 나꼼수의 몰락!

 

우리나라의 국운이 아직 다하지 않은 모양입니다.."
"102",102,"odettejoo","5/24/2012","전교조 소속 교사나 공무원 혹은 군인 등 정당가입이 허용되지 않는 사람들도 상당수 통진당 당원명부에 있지 않을까요?
그러한 사람들이 있다면 그들도 정당가입해서는 안된다는 점을 알고 있으면서도 정당활동을 했을 것입니다

그래서 떨고 있는것이 아닐까요??"
"103",103,"odettejoo","5/24/2012","통진당과 나꼼수...동반몰락이군요...통진당 사태가 걷잡을 수 없을 정도로 커지고 있으니 다행~눈덩이가 자꾸 커지는 것이지요
검찰이 법원 영장전담판사의 결정으로 압수수색 영장을 발부받아 정당하게 통진당 당원명부를 가져갔는데 처벌이 기대되네요!"
"104",104,"odettejoo","5/24/2012","아마도 떨고 있을 통진당 당원이 많이 있을 것입니다

그런데 웃기는 것은 통진당 당원임이 밝혀지면 불안해하는 사람들이 있다는 것이 이상하지 않나요?

 

자기들이 그토록 신념을 갖고 당비까지 납부하는 사람들이 왜 불안해 하는 것인가요?"
"105",105,"subakjoo9","5/24/2012","통진당쪽의 한사람이 애국가를 불럿다구 뉴스에 막 나오더라구요
애국가를 부른게 뉴스에 나올일인가?? 아주 웃껴 ㅋㅋㅋㅋ
그리고 통진당쪽님들 애국가 부르지마세요
내나라 내 애국가니깐 내나라 애국가 막 부르지 말라구요"
"106",106,"kokoman88","5/25/2012","소위 배웠다는 3040세대 중에 아직도 북한과 주사파를 두둔하는 철없는 분들은 반성해야 합니다. 비판의식은 필요하겠으나 대한민국을 무너뜨리겠다는 종북세력을 두둔한다는것은 부끄럽게 생각해야 할 것입니다."
